Model Number,Model Type,Model,AIC,BIC,Dispersion,Num Obs,Components,DF Residuals,DF Model,Total DF,Log Likelihood,Deviance,Pearson Chi2 Statistic,Pearson Chi2 Critical Value,Pearson Chi2 P-Value,Worse Than,Same As ,Best Worse Than,Best Same As,Consider
15,Poisson,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,41564.31379,51475.53869,0,5570,6,4074,1495,5569,-19286.1569,4509.668561,4483.490732,4223.60311,5.41E-06,,,,,
17,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,41595.14293,51506.36783,0,5570,6,4074,1495,5569,-19301.57146,4540.497697,4514.441248,4223.60311,1.17E-06,"3, 1",,3,,
1,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away + Offense:Is_Away + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,41901.65099,54197.93001,0,5570,8,3714,1855,5569,-19094.8255,4127.005762,4102.850087,3856.89099,6.19E-06,,"15, 13",,15,
3,Poisson,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Home + Offense:Is_Away + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,41901.65099,54197.93001,0,5570,8,3714,1855,5569,-19094.8255,4127.005762,4102.850087,3856.89099,6.19E-06,,"15, 13",,15,
5,Poisson,PP100 ~ Offense + Defense + Is_Away + Offense:Is_Home + Defense:Is_Home + Offense:Is_Neutral + Defense:Is_Neutral,41901.65099,54197.93001,0,5570,7,3714,1855,5569,-19094.8255,4127.005762,4102.850154,3856.89099,6.19E-06,,13,,13,
46,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Offense:Is_Away + Defense:Is_Away,476487.4206,481284.0294,1.00E-16,5570,5,4846,723,5569,-237519.7103,3507.662757,5362.498482,5009.061509,1.91E-07,,66,,66,
62,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Is_Away,476487.4206,481284.0294,1.00E-16,5570,4,4846,723,5569,-237519.7103,3507.662757,5362.498482,5009.061509,1.91E-07,,66,,66,
66,Negative Binomial,PP100 ~ Offense + Defense + Is_Home,476487.4206,481284.0294,1.00E-16,5570,3,4846,723,5569,-237519.7103,3507.662757,5362.498482,5009.061509,1.91E-07,,,,,
30,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Is_Neutral + Offense:Is_Away + Defense:Is_Away,476905.8713,481709.1052,1.00E-16,5570,6,4845,724,5569,-237727.9356,3441.740234,5351.46,5008.044799,3.14E-07,,"66, 58, 46",,66,
44,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Is_Away + Is_Neutral,476905.8713,481709.1052,1.00E-16,5570,5,4845,724,5569,-237727.9356,3441.740234,5351.46,5008.044799,3.14E-07,,"66, 62, 58",,66,
58,Negative Binomial,PP100 ~ Offense + Defense + Is_Home + Is_Neutral,476905.8713,481709.1052,1.00E-16,5570,4,4845,724,5569,-237727.9356,3441.740234,5351.46,5008.044799,3.14E-07,,66,,66,
48,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Away + Defense:Is_Away,476929.1107,481725.7195,1.00E-16,5570,5,4846,723,5569,-237740.5553,3652.282905,5488.148129,5009.061509,1.90E-10,30,68,30,68,
60,Negative Binomial,PP100 ~ Offense + Defense + Is_Away + Is_Neutral,476929.1107,481725.7195,1.00E-16,5570,4,4846,723,5569,-237740.5553,3652.282905,5488.148129,5009.061509,1.90E-10,44,68,44,68,
