,GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,WinOrLoss,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
67,11/6/2023,1257701,446,Oklahoma,455,Central Michigan,H,W,196,89,28,50,9,20,24,30,32,8,7,7,5,12,14
68,11/6/2023,1257701,455,Central Michigan,446,Oklahoma,V,L,197,59,23,64,4,21,9,13,27,6,7,4,10,16,24
69,11/6/2023,1257702,461,Charleston Southern,4000,ND1,H,W,193,94,37,71,11,29,9,15,46,19,7,5,14,13,18
70,11/6/2023,1257703,275,Maine,489,Charlotte,V,L,195,52,18,54,6,24,10,19,24,10,9,1,6,5,18
71,11/6/2023,1257703,489,Charlotte,275,Maine,H,W,196,69,23,43,6,17,17,21,35,8,5,3,3,15,16
72,11/6/2023,1257704,436,Chattanooga,4000,ND1,H,W,197,89,32,59,8,28,17,25,49,18,8,10,15,17,15
73,11/6/2023,1257705,252,Cincinnati,449,Illinois-Chicago,H,W,195,69,28,67,5,25,8,13,38,12,11,2,9,8,9
74,11/6/2023,1257705,449,Illinois-Chicago,252,Cincinnati,V,L,195,58,26,60,2,16,4,7,31,7,4,7,6,15,14
75,11/6/2023,1257706,262,North Carolina State,368,Citadel,H,W,191,72,29,66,10,28,4,7,37,19,9,5,9,9,20
76,11/6/2023,1257706,368,Citadel,262,North Carolina State,V,L,193,59,21,52,4,17,13,24,36,7,5,0,7,12,10
77,11/6/2023,1257707,357,Clemson,452,Winthrop,H,W,195,78,27,62,13,32,11,12,38,21,7,6,9,10,17
78,11/6/2023,1257707,452,Winthrop,357,Clemson,V,L,196,56,18,52,5,18,15,18,27,6,5,0,4,14,13
79,11/6/2023,1257708,359,Cleveland State,479,Duquesne,V,L,194,77,28,64,9,20,12,19,39,10,7,6,14,12,25
80,11/6/2023,1257708,479,Duquesne,359,Cleveland State,H,W,195,79,26,62,9,27,18,33,41,17,5,2,15,11,20
81,11/6/2023,1257709,420,Coastal Carolina,4000,ND1,H,W,194,88,30,68,9,30,19,36,49,18,4,4,21,16,18
82,11/6/2023,1257710,337,Iona,522,College of Charleston,V,L,195,69,29,70,5,20,6,8,36,7,10,6,11,11,19
83,11/6/2023,1257710,522,College of Charleston,337,Iona,H,W,195,71,25,59,5,28,16,20,37,11,7,6,8,13,12
84,11/6/2023,1257711,254,Colorado,361,Towson,H,W,193,75,26,50,8,17,15,21,35,21,6,6,9,15,17
85,11/6/2023,1257711,361,Towson,254,Colorado,V,L,194,57,19,54,6,14,13,20,24,5,9,4,8,11,20
86,11/6/2023,1257712,273,Louisiana Tech,360,Colorado State,V,L,195,73,29,65,7,24,8,10,37,13,7,2,13,13,23
87,11/6/2023,1257712,360,Colorado State,273,Louisiana Tech,H,W,195,81,26,51,6,16,23,26,22,19,7,3,0,10,14
88,11/6/2023,1257713,289,Providence,508,Columbia,H,W,193,78,29,59,6,23,14,19,38,14,11,7,7,18,14
89,11/6/2023,1257713,508,Columbia,289,Providence,V,L,193,59,21,71,6,26,11,13,33,10,12,3,12,14,20
90,11/6/2023,1257714,255,Connecticut,322,Northern Arizona,H,W,194,95,32,57,7,25,24,37,44,15,5,10,11,8,19
91,11/6/2023,1257714,322,Northern Arizona,255,Connecticut,V,L,195,52,20,59,3,15,9,16,22,8,4,4,6,10,24
92,11/6/2023,1257715,407,Coppin State,412,Virginia Tech,V,L,195,55,19,51,5,17,12,18,18,5,6,4,2,17,21
93,11/6/2023,1257715,412,Virginia Tech,407,Coppin State,H,W,195,100,32,62,13,31,23,29,41,29,9,4,12,11,16
94,11/6/2023,1257716,245,Lehigh,425,Cornell,H,L,195,78,29,64,7,29,13,16,35,16,11,1,6,15,27
95,11/6/2023,1257716,425,Cornell,245,Lehigh,V,W,192,84,26,57,11,30,21,31,32,15,7,0,7,15,18
96,11/6/2023,1257717,236,Duke,290,Dartmouth,H,W,193,92,38,59,7,17,9,12,31,18,6,6,5,9,18
97,11/6/2023,1257717,290,Dartmouth,236,Duke,V,L,192,54,19,56,4,18,12,17,26,11,5,1,8,12,16
98,11/6/2023,1257718,257,Davidson,4000,ND1,H,W,194,86,29,67,10,36,18,24,43,14,7,5,15,6,15
99,11/6/2023,1257719,259,Dayton,572,SIU Edwardsville,H,W,195,63,20,48,5,23,18,22,33,17,6,3,6,10,16
100,11/6/2023,1257719,572,SIU Edwardsville,259,Dayton,V,L,195,47,16,50,5,12,10,15,28,7,7,1,6,12,20
101,11/6/2023,1257720,394,Penn State,492,Delaware State,H,W,194,79,27,55,12,32,13,21,38,13,11,7,9,21,14
102,11/6/2023,1257720,492,Delaware State,394,Penn State,V,L,193,45,19,66,1,16,6,7,33,7,11,3,13,21,16
103,11/6/2023,1257721,536,Denver,11199,UC San Diego,V,L,196,87,28,71,6,18,25,33,39,13,2,4,17,11,21
104,11/6/2023,1257721,11199,UC San Diego,536,Denver,H,W,196,95,35,65,7,17,18,25,31,20,7,8,11,8,24
105,11/6/2023,1257722,311,Toledo,475,Detroit,H,W,194,94,31,61,12,20,20,25,30,18,12,0,9,9,10
106,11/6/2023,1257722,475,Detroit,311,Toledo,V,L,194,60,25,47,6,20,4,10,25,13,6,1,3,23,19
107,11/6/2023,1257723,506,East Carolina,4000,ND1,H,W,194,91,27,52,7,21,30,39,34,16,12,1,11,14,10
108,11/6/2023,1257724,458,East Tennessee State,4000,ND1,H,W,195,73,25,68,7,30,16,23,43,11,9,10,12,12,17
109,11/6/2023,1257725,388,Illinois,447,Eastern Illinois,H,W,195,80,29,58,10,32,12,23,46,15,4,5,8,12,13
110,11/6/2023,1257725,447,Eastern Illinois,388,Illinois,V,L,193,52,20,69,4,11,8,16,34,7,4,2,10,7,22
111,11/6/2023,1257726,268,Eastern Washington,481,Utah,V,L,194,66,25,66,9,30,7,11,23,18,8,0,6,15,28
112,11/6/2023,1257726,481,Utah,268,Eastern Washington,H,W,195,101,32,58,11,25,26,38,46,18,10,6,12,16,13
113,11/6/2023,1257727,317,Wake Forest,539,Elon,H,W,197,101,37,65,8,26,19,21,34,10,5,6,8,11,14
114,11/6/2023,1257727,539,Elon,317,Wake Forest,V,L,194,78,28,59,10,23,12,16,20,10,6,1,3,11,19
115,11/6/2023,1257728,384,Evansville,385,Miami (Ohio),H,W,196,72,23,51,5,15,21,30,30,10,11,4,5,13,16
116,11/6/2023,1257728,385,Miami (Ohio),384,Evansville,V,L,195,64,25,52,10,20,4,11,33,15,7,1,5,19,25
117,11/6/2023,1257729,413,Fairleigh Dickinson,521,Buffalo,V,W,195,92,30,63,9,23,23,36,38,18,7,2,8,6,20
118,11/6/2023,1257729,521,Buffalo,413,Fairleigh Dickinson,H,L,196,86,30,72,11,31,15,20,43,15,2,4,13,13,25
119,11/6/2023,1257730,379,Loyola Maryland,395,Florida,V,L,194,73,27,59,9,26,10,15,28,13,6,2,8,14,22
120,11/6/2023,1257730,395,Florida,379,Loyola Maryland,H,W,195,93,36,62,6,16,15,30,35,17,11,3,11,10,16
121,11/6/2023,1257731,250,UCF,263,Florida International,H,W,196,85,31,62,7,24,16,23,34,16,16,5,12,17,21
122,11/6/2023,1257731,263,Florida International,250,UCF,V,L,192,62,17,47,4,18,24,32,25,10,11,2,6,24,18
123,11/6/2023,1257732,365,Fordham,459,Wagner,H,W,220,68,26,61,8,27,8,19,37,14,5,7,13,10,15
124,11/6/2023,1257732,459,Wagner,365,Fordham,V,L,220,64,24,62,4,17,12,17,36,5,7,5,12,11,20
125,11/6/2023,1257733,265,Fresno State,4000,ND1,H,W,194,77,26,52,6,19,19,25,28,15,10,5,6,12,14
126,11/6/2023,1257734,226,Furman,4000,ND1,H,W,195,84,27,59,3,21,27,39,44,10,14,6,9,18,20
127,11/6/2023,1257735,552,Gardner-Webb,4000,ND1,H,W,193,98,31,67,14,36,22,31,54,18,3,6,23,13,19
128,11/6/2023,1257736,304,Monmouth,333,George Mason,V,L,194,61,22,65,9,25,8,12,28,10,9,4,10,12,21
129,11/6/2023,1257736,333,George Mason,304,Monmouth,H,W,197,72,23,49,9,20,17,25,40,13,5,7,8,16,14
130,11/6/2023,1257737,378,George Washington,11204,Stonehill,H,W,192,89,33,65,15,36,8,14,46,17,9,5,7,13,10
131,11/6/2023,1257737,11204,Stonehill,378,George Washington,V,L,194,44,15,70,5,33,9,12,34,10,4,1,9,14,12
132,11/6/2023,1257739,367,Georgia Southern,371,Georgia Tech,V,L,195,62,23,57,6,22,10,13,27,6,5,2,7,18,23
133,11/6/2023,1257739,371,Georgia Tech,367,Georgia Southern,H,W,194,84,27,60,13,29,17,27,33,17,10,4,14,11,16
134,11/6/2023,1257741,523,Southeast Missouri State,579,Grand Canyon,V,L,194,67,25,64,11,21,6,15,28,16,11,2,9,15,19
135,11/6/2023,1257741,579,Grand Canyon,523,Southeast Missouri State,H,W,194,88,31,62,7,21,19,27,44,11,9,6,14,17,19
136,11/6/2023,1257742,339,Iowa State,349,Green Bay,H,W,193,85,31,66,8,18,15,22,43,16,10,2,15,3,15
137,11/6/2023,1257742,349,Green Bay,339,Iowa State,V,L,194,44,13,46,8,33,10,14,24,7,2,5,4,15,18
138,11/6/2023,1257743,316,Howard,530,Hampton,H,W,195,92,27,48,9,18,29,36,29,12,9,1,4,20,20
139,11/6/2023,1257743,530,Hampton,316,Howard,V,L,195,80,28,56,9,28,15,21,16,11,12,0,2,17,28
140,11/6/2023,1257744,372,Harvard,4000,ND1,H,W,193,78,33,64,7,24,5,9,41,20,3,8,10,11,6
141,11/6/2023,1257745,544,High Point,4000,ND1,H,W,192,105,34,72,21,47,16,25,57,28,10,2,21,13,13
142,11/6/2023,1257747,228,Siena,457,Holy Cross,H,W,196,73,25,56,7,18,16,21,34,11,5,8,12,10,14
143,11/6/2023,1257747,457,Holy Cross,228,Siena,V,L,195,71,29,55,10,20,3,12,26,13,6,2,6,11,19
144,11/6/2023,1257748,278,Louisiana-Monroe,341,Houston,V,L,193,31,11,39,3,16,6,17,27,7,4,2,10,24,22
145,11/6/2023,1257748,341,Houston,278,Louisiana-Monroe,H,W,192,84,26,61,11,35,21,29,40,19,15,5,20,10,19
146,11/6/2023,1257749,537,IUPUI,4000,ND1,H,W,193,70,25,58,3,17,17,22,28,9,10,1,11,13,13
147,11/6/2023,1257750,241,Idaho,486,Washington State,V,L,193,59,18,52,5,25,18,25,23,8,6,4,5,11,23
148,11/6/2023,1257750,486,Washington State,241,Idaho,H,W,195,84,31,57,7,18,15,29,43,14,6,6,13,9,24
149,11/6/2023,1257751,269,Idaho State,4000,ND1,H,W,194,92,36,61,9,21,11,15,42,20,13,6,8,10,12
150,11/6/2023,1257752,258,Illinois State,4000,ND1,H,W,196,75,27,58,11,29,10,19,38,19,7,5,9,15,15
151,11/6/2023,1257753,444,Texas,582,Incarnate Word,H,W,195,88,32,63,10,26,14,23,43,20,10,9,10,12,17
152,11/6/2023,1257753,582,Incarnate Word,444,Texas,V,L,196,56,19,64,4,23,14,23,36,6,7,4,13,17,19
153,11/6/2023,1257754,460,Indiana State,4000,ND1,H,W,195,90,31,56,12,30,16,25,32,23,10,3,6,10,16
154,11/6/2023,1257755,373,Jackson State,463,Memphis,V,L,196,77,29,63,10,30,9,12,30,13,7,6,6,23,19
155,11/6/2023,1257755,463,Memphis,373,Jackson State,H,W,193,94,34,67,11,28,15,23,31,21,15,4,9,16,14
156,11/6/2023,1257756,485,Jacksonville,4000,ND1,H,W,196,113,43,84,8,30,19,25,56,22,23,5,19,16,17
157,11/6/2023,1257757,227,Michigan State,375,James Madison,H,L,219,76,26,72,1,20,23,37,43,13,8,5,14,11,21
158,11/6/2023,1257757,375,James Madison,227,Michigan State,V,W,220,79,25,68,8,29,21,28,45,14,5,4,10,15,32
159,11/6/2023,1257758,224,Kansas,569,North Carolina Central,H,W,192,99,39,56,13,23,8,10,36,34,4,3,3,10,13
160,11/6/2023,1257758,569,North Carolina Central,224,Kansas,V,L,194,56,20,57,6,23,10,18,21,7,7,1,9,8,13
161,11/6/2023,1257760,332,Kentucky,438,New Mexico State,H,W,192,86,32,65,9,29,13,19,39,17,13,3,8,6,11
162,11/6/2023,1257760,438,New Mexico State,332,Kentucky,V,L,197,46,18,56,5,23,5,5,31,10,2,2,6,18,16
163,11/6/2023,1257761,277,Mississippi Valley State,327,LSU,V,L,191,60,21,55,6,15,12,23,29,5,7,2,12,18,22
164,11/6/2023,1257761,327,LSU,277,Mississippi Valley State,H,W,195,106,34,59,14,26,24,34,38,19,12,5,12,12,21
165,11/6/2023,1257762,271,Lafayette,498,Saint Joseph`s,V,L,191,60,20,54,8,28,12,19,32,11,6,4,10,15,19
166,11/6/2023,1257762,498,Saint Joseph`s,271,Lafayette,H,W,193,81,29,63,12,34,11,21,30,21,8,0,8,8,18
167,11/6/2023,1257763,274,Liberty,4000,ND1,H,W,193,103,36,65,17,34,14,18,46,21,7,4,13,11,9
168,11/6/2023,1257764,87,Lindenwood,294,Nebraska,V,L,196,52,22,68,3,16,5,9,35,2,4,2,10,11,21
169,11/6/2023,1257764,294,Nebraska,87,Lindenwood,H,W,196,84,27,56,11,30,19,29,40,19,5,7,7,9,12
170,11/6/2023,1257765,319,Wichita State,555,Lipscomb,H,W,195,76,31,65,3,13,11,17,47,10,5,5,12,10,12
171,11/6/2023,1257765,555,Lipscomb,319,Wichita State,V,L,194,59,23,69,9,37,4,7,28,15,9,6,8,9,15
172,11/6/2023,1257766,389,Long Beach State,414,Portland,V,L,196,73,25,69,8,29,15,23,34,14,8,3,13,14,26
173,11/6/2023,1257766,414,Portland,389,Long Beach State,H,W,196,78,23,53,7,30,25,31,35,13,5,4,6,16,20
174,11/6/2023,1257767,488,Saint Bonaventure,556,Longwood,H,W,195,73,27,59,11,31,8,10,27,17,3,6,7,8,18
175,11/6/2023,1257767,556,Longwood,488,Saint Bonaventure,V,L,195,69,24,61,3,17,18,25,40,8,4,2,18,12,14
176,11/6/2023,1257768,266,Louisiana-Lafayette,441,Youngstown State,H,W,195,72,23,65,5,24,21,24,31,11,7,3,8,11,15
177,11/6/2023,1257768,441,Youngstown State,266,Louisiana-Lafayette,V,L,195,62,24,60,2,23,12,18,39,4,6,7,11,17,20
178,11/6/2023,1257769,356,Maryland-Baltimore County,483,Louisville,V,L,194,93,35,69,11,21,12,22,35,13,8,3,12,11,26
179,11/6/2023,1257769,483,Louisville,356,Maryland-Baltimore County,H,W,195,94,34,68,2,14,24,39,47,9,4,5,20,14,20
180,11/6/2023,1257770,462,Marquette,470,Northern Illinois,H,W,193,92,35,67,9,25,13,21,37,20,8,2,11,8,15
181,11/6/2023,1257770,470,Northern Illinois,462,Marquette,V,L,195,70,26,70,7,26,11,16,38,10,6,4,16,14,13
182,11/6/2023,1257771,422,Marshall,11201,Queens (N.C.),H,W,197,89,36,74,8,26,9,16,36,15,11,9,12,12,18
183,11/6/2023,1257771,11201,Queens (N.C.),422,Marshall,V,L,195,73,27,70,7,26,12,20,40,15,10,4,13,18,14
184,11/6/2023,1257772,383,Maryland-Eastern Shore,501,Temple,V,L,195,65,23,66,5,23,14,24,35,11,8,2,16,12,19
185,11/6/2023,1257772,501,Temple,383,Maryland-Eastern Shore,H,W,192,85,26,60,6,19,27,30,41,11,7,3,11,12,16
186,11/6/2023,1257773,580,Massachusetts-Lowell,4000,ND1,H,W,192,96,36,65,4,12,20,25,46,17,6,8,15,14,12
187,11/6/2023,1257774,410,VCU,510,McNeese State,H,L,195,65,22,53,11,36,10,14,33,17,3,9,9,14,17
188,11/6/2023,1257774,510,McNeese State,410,VCU,V,W,196,76,27,59,8,17,14,22,31,11,9,1,8,5,18
189,11/6/2023,1257775,507,Mercer,4000,ND1,H,L,195,64,21,56,7,30,15,23,30,11,6,1,10,10,22
190,11/6/2023,1257776,514,Vermont,7529,Merrimack,H,W,195,67,25,53,7,25,10,13,33,13,4,1,11,7,13
191,11/6/2023,1257776,7529,Merrimack,514,Vermont,V,L,196,55,22,52,4,19,7,13,27,6,5,2,9,10,15
192,11/6/2023,1257777,334,Miami (Fla.),563,NJIT,H,W,194,101,39,72,12,28,11,17,44,23,10,7,11,9,12
193,11/6/2023,1257777,563,NJIT,334,Miami (Fla.),V,L,192,60,23,68,9,30,5,11,31,12,6,2,9,16,13
194,11/6/2023,1257778,276,Middle Tennessee,578,Northern Kentucky,H,W,194,74,25,59,10,27,14,17,28,12,10,4,9,11,18
195,11/6/2023,1257778,578,Northern Kentucky,276,Middle Tennessee,V,L,194,57,22,51,3,14,10,17,30,9,7,3,9,18,20
196,11/6/2023,1257779,519,Milwaukee,4000,ND1,H,W,193,91,32,73,11,35,16,30,48,19,9,4,21,11,18
197,11/6/2023,1257780,279,Missouri State,480,West Virginia,V,L,195,59,23,65,9,29,4,7,38,14,4,6,10,4,17
198,11/6/2023,1257780,480,West Virginia,279,Missouri State,H,W,196,67,22,63,7,21,16,20,38,13,2,6,13,6,12
199,11/6/2023,1257781,466,Missouri-Kansas City,4000,ND1,H,W,195,79,27,68,8,28,17,32,43,12,10,7,19,7,19
200,11/6/2023,1257782,286,Montana State,4000,ND1,H,W,195,103,41,74,15,34,6,10,31,22,16,4,7,7,14
201,11/6/2023,1257783,281,Murray State,4000,ND1,H,W,194,91,33,66,11,25,14,21,45,20,7,1,14,12,12
202,11/6/2023,1257784,310,Syracuse,409,New Hampshire,H,W,196,83,28,67,5,21,22,27,46,13,13,2,13,11,17
203,11/6/2023,1257784,409,New Hampshire,310,Syracuse,V,L,194,72,25,68,8,31,14,19,38,15,6,1,12,15,22
204,11/6/2023,1257785,283,New Mexico,347,Texas Southern,H,W,194,92,30,67,10,23,22,27,45,20,9,5,10,9,17
205,11/6/2023,1257785,347,Texas Southern,283,New Mexico,V,L,194,55,20,68,5,24,10,19,33,9,5,9,10,12,20
206,11/6/2023,1257786,439,New Orleans,4000,ND1,H,W,190,100,33,73,5,21,29,36,40,17,12,4,10,10,19
207,11/6/2023,1257787,237,Notre Dame,292,Niagara,H,W,197,70,27,53,3,17,13,16,33,9,3,1,4,7,13
208,11/6/2023,1257787,292,Niagara,237,Notre Dame,V,L,196,63,25,59,7,17,6,9,27,11,3,2,4,7,15
209,11/6/2023,1257788,247,Nicholls State,313,Tulane,V,L,194,81,31,64,10,28,9,20,40,13,5,3,12,18,22
210,11/6/2023,1257788,313,Tulane,247,Nicholls State,H,W,196,91,33,65,8,30,17,23,33,17,13,4,8,9,15
211,11/6/2023,1257789,533,Norfolk State,4000,ND1,H,W,195,102,37,69,9,24,19,28,42,20,17,5,11,12,22
212,11/6/2023,1257790,5050,North Alabama,4000,ND1,H,W,193,93,33,69,11,23,16,23,46,16,8,3,15,8,17
213,11/6/2023,1257791,324,North Carolina,490,Radford,H,W,195,86,32,61,7,20,15,23,36,18,4,5,11,11,11
214,11/6/2023,1257791,490,Radford,324,North Carolina,V,L,193,70,28,66,5,21,9,10,27,5,8,3,6,10,21
215,11/6/2023,1257792,473,Pittsburgh,509,North Carolina A&T,H,W,195,100,40,71,12,29,8,17,55,21,5,9,13,10,12
216,11/6/2023,1257792,509,North Carolina A&T,473,Pittsburgh,V,L,195,52,19,70,8,34,6,9,23,9,5,6,7,9,17
